Category,Month,Amount
Travel,2026-01,1980
Travel,2026-02,2230
Travel,2026-03,1875
Travel,2026-04,1900
Travel,2026-05,2374
Software,2026-01,1259
Software,2026-02,1481
Software,2026-03,944
Software,2026-04,1404
Software,2026-05,1104
Hardware,2026-01,741
Hardware,2026-02,1097
Hardware,2026-03,1081
Hardware,2026-04,724
Hardware,2026-05,899
Training,2026-01,1435
Training,2026-02,1305
Training,2026-03,931
Training,2026-04,1450
Training,2026-05,997
Marketing,2026-01,2010
Marketing,2026-02,1477
Marketing,2026-03,2004
Marketing,2026-04,2013
Marketing,2026-05,1820
Facilities,2026-01,929
Facilities,2026-02,750
Facilities,2026-03,1273
Facilities,2026-04,839
Facilities,2026-05,999
