Line,Section,Dept code,Project,Work type,Comment,Leave reason,Night shift
1,General,740,Admin,,,,
2,General,750,Marketing,,,,
3,General,751,Marketing-PICA,,,,
4,General,752,Marketing - Navigator Sales,,,,
5,General,7505,Marketing-PICA USA,,,,
6,General,755,Safety,,,,
7,Services,,,,,,
8,Services,,,,,,
9,Services,,,,,,
10,Services,,,,,,
11,Services,,,,,,
12,Services,,,,,,
13,Services,,,,,,
14,Services,,,,,,
15,Services,,,,,,
16,Services,,,,,,
17,Services,,,,,,
18,Manufacturing,,,,,,
19,Manufacturing,,,,,,
20,Manufacturing,,,,,,
21,Manufacturing,,,,,,
22,Manufacturing,,,,,,
23,Manufacturing,,,,,,
24,Manufacturing,,,,,,
25,Manufacturing,,,,,,
26,R&D,,Analyzer Software Development,,Machine Learning,,
27,R&D,,Analyzer Software Development,,App Dev,,
28,R&D,,Analyzer Software Development,,Chatbot Dev,,
29,R&D,,Analyzer Software Development,,GIS,,
30,R&D,,,,,,
31,R&D,,,,,,
32,Non-project,760,Courses & Training,,,,
33,Non-project,760,General Overhead & Maintenance,,,,
34,Non-project,760,Statutory Holidays,,,,
35,Non-project,760,Vacation,,,,
36,Non-project,760,Accrual:,,,,
37,Non-project,760,Unpaid Time Off,,,,
38,Non-project,760,Leave - Reason:,,<Please Specify>,,
